N°,prime_minister,start,end,party,government
,,Inizio,Fine,,
1,Alcide De Gasperi(1881-1954),14 luglio 1946,2 febbraio 1947,Democrazia Cristiana,De Gasperi II[2]
,,2 febbraio 1947,1º giugno 1947,,De Gasperi III
,,1º giugno 1947,24 maggio 1948,,De Gasperi IV
,,24 maggio 1948,27 gennaio 1950,,De Gasperi V
,,27 gennaio 1950,26 luglio 1951,,De Gasperi VI
,,26 luglio 1951,16 luglio 1953,,De Gasperi VII
,,16 luglio 1953,17 agosto 1953,,De Gasperi VIII
2,Giuseppe Pella(1902-1981),17 agosto 1953,19 gennaio 1954,Democrazia Cristiana,Pella
3,Amintore Fanfani(1908-1999),19 gennaio 1954,10 febbraio 1954,Democrazia Cristiana,Fanfani I[4]
4,Mario Scelba(1901-1991),10 febbraio 1954,6 luglio 1955,Democrazia Cristiana,Scelba
5,Antonio Segni(1891-1972),6 luglio 1955,20 maggio 1957,Democrazia Cristiana,Segni I
6,Adone Zoli(1887-1960),20 maggio 1957,2 luglio 1958,Democrazia Cristiana,Zoli
-3,Amintore Fanfani(1908-1999),2 luglio 1958,16 febbraio 1959,Democrazia Cristiana,Fanfani II
-5,Antonio Segni(1891-1972),16 febbraio 1959,26 marzo 1960,Democrazia Cristiana,Segni II
7,Fernando Tambroni(1901-1963),26 marzo 1960,27 luglio 1960,Democrazia Cristiana,Tambroni
-3,Amintore Fanfani(1908-1999),27 luglio 1960,22 febbraio 1962,Democrazia Cristiana,Fanfani III
,,22 febbraio 1962,22 giugno 1963,,Fanfani IV
,,,,,
8,Giovanni Leone (1908-2001),22 giugno 1963,5 dicembre 1963,Democrazia Cristiana,Leone I
9,Aldo Moro(1916-1978),5 dicembre 1963,23 luglio 1964,Democrazia Cristiana,Moro I
,,23 luglio 1964,24 febbraio 1966,,Moro II
,,24 febbraio 1966,25 giugno 1968,,Moro III
-8,Giovanni Leone(1908-2001),25 giugno 1968,13 dicembre 1968,Democrazia Cristiana,Leone II
10,Mariano Rumor(1915-1990),13 dicembre 1968,6 agosto 1969,Democrazia Cristiana,Rumor I
,,6 agosto 1969,28 marzo 1970,,Rumor II
,,28 marzo 1970,6 agosto 1970,,Rumor III
11,Emilio Colombo(1920-2013),6 agosto 1970,18 febbraio 1972,Democrazia Cristiana,Colombo
12,Giulio Andreotti(1919-2013),18 febbraio 1972,26 giugno 1972,Democrazia Cristiana,Andreotti I
,,26 giugno 1972,8 luglio 1973,,Andreotti II
-10,Mariano Rumor(1915-1990),8 luglio 1973,15 marzo 1974,Democrazia Cristiana,Rumor IV
,,15 marzo 1974,23 novembre 1974,,Rumor V
-9,Aldo Moro(1916-1978),23 novembre 1974,12 febbraio 1976,Democrazia Cristiana,Moro IV
,,12 febbraio 1976,30 luglio 1976,,Moro V
-12,Giulio Andreotti(1919-2013),30 luglio 1976,13 marzo 1978,Democrazia Cristiana,Andreotti III
,,13 marzo 1978,21 marzo 1979,,Andreotti IV
,,21 marzo 1979,5 agosto 1979,,Andreotti V
13,Francesco Cossiga(1928-2010),5 agosto 1979,4 aprile 1980,Democrazia Cristiana,Cossiga I
,,4 aprile 1980,18 ottobre 1980,,Cossiga II
14,Arnaldo Forlani(1925-2023),18 ottobre 1980,28 giugno 1981,Democrazia Cristiana,Forlani
15,Giovanni Spadolini(1925-1994),28 giugno 1981,23 agosto 1982,Partito Repubblicano Italiano,Spadolini I
,,23 agosto 1982,1º dicembre 1982,,Spadolini II
-3,Amintore Fanfani(1908-1999),1º dicembre 1982,4 agosto 1983,Democrazia Cristiana,Fanfani V
16,Bettino Craxi(1934-2000),4 agosto 1983,1º agosto 1986,Partito Socialista Italiano,Craxi I
,,1º agosto 1986,18 aprile 1987,,Craxi II
-3,Amintore Fanfani(1908-1999),18 aprile 1987,29 luglio 1987,Democrazia Cristiana,Fanfani VI
17,Giovanni Goria(1943-1994),29 luglio 1987,13 aprile 1988,Democrazia Cristiana,Goria
18,Ciriaco De Mita(1928-2022),13 aprile 1988,23 luglio 1989,Democrazia Cristiana,De Mita
-12,Giulio Andreotti(1919-2013),23 luglio 1989,13 aprile 1991,Democrazia Cristiana,Andreotti VI
,,13 aprile 1991,28 giugno 1992,,Andreotti VII
19,Giuliano Amato(1938),28 giugno 1992,29 aprile 1993,Partito Socialista Italiano,Amato I
20,Carlo Azeglio Ciampi(1920-2016),29 aprile 1993,11 maggio 1994,Indipendente,Ciampi
21,Silvio Berlusconi(1936-2023),11 maggio 1994,17 gennaio 1995,Forza Italia,Berlusconi I
22,Lamberto Dini(1931),17 gennaio 1995,18 maggio 1996,Indipendente[5],Dini
23,Romano Prodi(1939),18 maggio 1996,21 ottobre 1998,Indipendente di centro-sinistra,Prodi I
24,Massimo D'Alema(1949),21 ottobre 1998,22 dicembre 1999,Democratici di Sinistra,D'Alema I
,,22 dicembre 1999,26 aprile 2000,,D'Alema II
-19,Giuliano Amato(1938),26 aprile 2000,11 giugno 2001,Indipendente di centro-sinistra,Amato II
-21,Silvio Berlusconi(1936-2023),11 giugno 2001,23 aprile 2005,Forza Italia,Berlusconi II
,,23 aprile 2005,17 maggio 2006,,Berlusconi III
-23,Romano Prodi(1939),17 maggio 2006,8 maggio 2008,Indipendente di centro-sinistra[6],Prodi II
-21,Silvio Berlusconi(1936-2023),8 maggio 2008,16 novembre 2011,Il Popolo della Libertà,Berlusconi IV
25,Mario Monti(1943),16 novembre 2011,28 aprile 2013,Indipendente[8],Monti
26,Enrico Letta(1966),28 aprile 2013,22 febbraio 2014,Partito Democratico,Letta
27,Matteo Renzi(1975),22 febbraio 2014,12 dicembre 2016,Partito Democratico,Renzi
28,Paolo Gentiloni(1954),12 dicembre 2016,1º giugno 2018,Partito Democratico,Gentiloni
29,Giuseppe Conte(1964),1º giugno 2018,5 settembre 2019,Indipendente di area M5S[11],Conte I
,,5 settembre 2019,13 febbraio 2021,,Conte II
30,Mario Draghi(1947),13 febbraio 2021,22 ottobre 2022,Indipendente,Draghi
31,Giorgia Meloni(1977),22 ottobre 2022,in carica,Fratelli d'Italia,Meloni
