case_id,chunk,time,activity,chamber
25G00016,Presentato dall'Onorevole Marco Simiani (PD-IDP) e altri,19 ottobre 2022,presentazione,camera
25G00011,Presentato dall'Onorevole Giorgio Mulè (FI-PPE) e altri,22 aprile 2024,presentazione,camera
24G00219,Presentato da Onorevole Massimiliano Panizzut (Lega),13 ottobre 2022,presentazione,camera
24G00229,presentato dal Ministro dell'economia e finanze Giancarlo Giorgetti (Governo Meloni-I),29 ottobre 2024,presentazione,camera
24G00218,Presentato dal Ministro del lavoro e politiche sociali Marina Elvira Calderone (Governo Meloni-I),,presentazione,camera
24G00217,Presentato dal Presidente del Consiglio dei ministri,28 ottobre 2024,presentazione,camera
24G00215,Presentato dal Ministro delle imprese e del made in Italy Adolfo Urso e dal Ministro delle infrastrutture e dei trasporti Matteo Salvini (Governo Meloni-I),9 agosto 2024,presentazione,camera
24G00207,Presentato dall'Onorevole Toni Ricciardi (PD-IDP),7 marzo 2023,presentazione,camera
24G00206,Presentato dal Presidente del Consiglio Giorgia Meloni,11 ottobre 2024,presentazione,camera
24G00199,Presentato dal Ministro delle Infrastrutture e dei Trasporti Matteo Salvini (Governo Meloni-I),28 settembre 2023,presentazione,camera
24G00194,Presentato dall'Onorevole Marco Furfaro (PD) e altri,24 ottobre 2022,presentazione,camera
24G00186,Presentato dall'Onorevole Alessandro Battilocchio (FI) e altri,26 febbraio 2024,presentazione,camera
24G00187,Presentato dall'Onorevole Maria Carolina Varchi (FDI) e altri (Governo Meloni-I),15 febbraio 2023,presentazione,camera
24G00184,Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro per gli affari europei Raffaele Fitto (Governo Meloni-I),16 settembre 2024,presentazione,camera
24G00180,Presentato dall'Onorevole Giulio Centemero ed altri (Governo Meloni-I),13 ottobre 2022,presentazione,camera
24G00169,Presentato dall'Onorevole Virginio Caparvi (Lega) e altri,23 gennaio 2023,presentazione,camera
24G00160,Presentato dagli onorevoli Latini Giorgia,2 maggio 2023,presentazione,camera
24G00140,Presentato dal Ministro dell'economia e delle finanze Giancarlo Giorgetti (Governo Meloni-I),24 giugno 2024,presentazione,camera
24G00132,Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni,29 giugno 2024,presentazione,camera
24G00135,Presentato dal Ministro dell'economia e delle finanze Giancarlo Giorgetti (Governo Meloni-I),5 luglio 2024,presentazione,camera
24G00134,Presentato dal Ministro dell'economia e delle finanze Giancarlo Giorgetti (Governo Meloni-I),5 luglio 2024,presentazione,camera
24G00131,Presentato dal Presidente del Consiglio Giorgia Meloni,25 giugno 2024,presentazione,camera
24G00123,Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni,31 maggio 2024,presentazione,camera
24G00124,Presentato dal Presidente del Consiglio dei ministri Giorgia Meloni e dal Ministro delle infrastrutture e dei trasporti Matteo Salvini (Governo Meloni-I),29 maggio 2024,presentazione,camera
24G00120,Presentato dal Ministro del lavoro e delle politiche sociali Marina Elvira Calderone (Governo Meloni-I),,presentazione,camera
